Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-04-26,Malaysia,32315733,131491,5780,98,3862,36,1820
2020-04-26,Kazakhstan,18749587,196298,2717,25,682,31,2010
2020-04-26,Finland,5539729,80300,4576,190,2500,62,1886
2020-04-26,Nigeria,205486161,10918,1273,40,239,2,994
2020-04-26,Moldova,4035024,11763,3408,96,895,212,2417
2020-04-26,Ghana,30991423,100622,1550,11,155,4,1384
2020-04-26,Oman,5089968,,1998,10,333,3,1655
2020-04-26,Armenia,2962604,17931,1746,28,833,10,885
2020-04-26,Bolivia,11653648,4995,866,46,74,3,746
2020-04-26,Luxembourg,624724,39003,3723,88,3104,22,531
2020-04-26,Iraq,40108260,71471,1820,87,1263,,470
2020-04-26,Hungary,9663123,63505,2500,272,485,61,1743
2020-04-26,Cameroon,26461313,,1621,56,786,12,779
2020-04-26,Azerbaijan,10128288,120479,1645,21,1139,15,485
2020-04-26,Thailand,69779718,142589,2922,51,2594,61,277
2020-04-26,Greece,10428746,64608,2517,134,577,46,1806
2020-04-26,Guinea,13086759,,996,7,208,,781
2020-04-26,Uzbekistan,33409960,242536,1869,8,789,8,1072
2020-04-26,Honduras,9885245,3457,627,59,65,10,503
2020-04-26,Sudan,43719159,,237,21,20,,196
2020-04-26,Senegal,16687100,466,671,9,283,1,379
2020-04-26,Bosnia and Herzegovina,3283087,25830,1516,59,624,4,833
2020-04-26,Bulgaria,6954222,27000,1300,56,205,41,1039
2020-04-26,Croatia,4108081,31622,2030,55,1103,23,872
2020-04-26,Ivory Coast,26294743,,1150,14,468,,668
2020-04-26,Guatemala,17874358,7200,473,13,45,5,415
2020-04-26,Cuba,11327404,39828,1369,54,501,11,814
2020-04-26,North Macedonia,2083384,15120,1386,61,500,13,825
2020-04-26,Iceland,340982,46352,1792,10,1608,3,174
2020-04-26,Estonia,1326433,47933,1643,49,233,6,1361
2020-04-26,Tajikistan,9510530,,,,,,
2020-04-26,Lithuania,2726360,104488,1438,41,467,17,930
2020-04-26,DRC,89204344,,442,28,50,,364
2020-04-26,Djibouti,986245,11741,1023,2,411,,610
2020-04-26,New Zealand,4817585,120981,1470,18,1142,1,310
2020-04-26,Slovakia,5459339,70928,1379,18,394,5,967
2020-04-26,Slovenia,2078905,48973,1396,82,221,23,1093
2020-04-26,Somalia,15835721,,436,23,10,2,403
2020-04-26,Gabon,2219053,572,176,3,30,1,143
2020-04-26,El Salvador,6482375,18686,298,8,83,4,207
2020-04-26,Mayotte,271976,2500,401,4,144,4,253
2020-04-26,Kyrgyzstan,6510930,45627,682,8,370,13,304
2020-04-26,Maldives,539365,5296,214,,17,2,197
2020-04-26,Hong Kong,7489763,145640,1038,4,772,4,262
2020-04-26,Tunisia,11803787,20818,949,38,216,20,695
2020-04-26,Guinea-Bissau,1962083,1500,53,1,3,,49
2020-04-26,Latvia,1888464,47671,812,12,267,6,533
2020-04-26,Sri Lanka,21402783,13850,523,7,120,2,396
2020-04-26,Albania,2878155,7279,726,28,410,4,288
2020-04-26,Lebanon,6828869,27827,707,24,145,44,538
2020-04-26,Cyprus,1206320,43542,817,14,148,15,655
2020-04-26,Kenya,53621669,17992,355,14,106,2,235
2020-04-26,Niger,24088734,5013,696,29,350,,317
2020-04-26,Mali,20174887,2172,389,23,112,,254
2020-04-26,Costa Rica,5088572,12467,695,6,264,8,425
2020-04-26,Burkina Faso,20829100,,632,42,453,,137
2020-04-26,Paraguay,7121943,7630,228,9,85,1,134
2020-04-26,Andorra,77251,1673,738,40,344,17,354
2020-04-26,Zambia,18317156,2586,88,3,42,1,43
2020-04-26,Uruguay,3472331,16496,596,14,370,9,212
2020-04-26,Equatorial Guinea,1396874,854,258,1,8,,249
2020-04-26,Georgia,3990035,9699,486,6,149,6,331
2020-04-26,San Marino,33923,2074,538,41,64,4,433
2020-04-26,Jordan,10191015,63737,447,7,337,5,103
2020-04-26,Venezuela,28445034,423592,325,10,137,3,178
2020-04-26,Malta,441407,27981,448,4,282,2,162
2020-04-26,Channel Islands,173672,5342,525,35,332,,158
2020-04-26,Haiti,11385726,769,74,6,7,,61
2020-04-26,Jamaica,2959659,2868,305,7,28,,270
2020-04-26,Chad,16364523,,46,,15,,31
2020-04-26,Sierra Leone,7956645,,93,4,10,,79
2020-04-26,Tanzania,59512999,,299,10,48,7,241
2020-04-26,Réunion,894557,,417,,300,2,117
2020-04-26,Taiwan,23811805,60459,429,6,281,,142
2020-04-26,Congo,5500730,,200,6,19,,175
2020-04-26,Palestine,5086351,27000,342,2,83,,257
2020-04-26,Nepal,29071791,51367,52,,16,,36
2020-04-26,Ethiopia,114599417,13645,123,3,41,,79
2020-04-26,Benin,12082333,,64,1,33,,30
2020-04-26,Isle of Man,84980,2854,308,18,247,22,43
2020-04-26,Mauritius,1271525,14445,332,9,299,3,24
2020-04-26,Togo,8254058,5951,98,6,62,,30
2020-04-26,Cabo Verde,555261,791,106,1,1,,104
2020-04-26,CAR,4819377,,19,,10,,9
2020-04-26,Montenegro,628057,5085,321,7,153,7,161
2020-04-26,Vietnam,97234232,212965,270,,225,8,45
2020-04-26,Madagascar,27599599,2357,124,,71,1,53
2020-04-26,Rwanda,12911155,6959,191,,92,,99
2020-04-26,South Sudan,11177895,,6,,,,6
2020-04-26,Uganda,45550580,20329,79,,46,,33
2020-04-26,Sao Tome and Principe,218653,19,4,,,,4
2020-04-26,Liberia,5042565,,124,12,25,,87
2020-04-26,French Guiana,297687,,111,1,87,,23
2020-04-26,Eswatini,1158724,714,59,1,10,,48
2020-04-26,Martinique,375298,,175,14,77,7,84
2020-04-26,Myanmar,54366792,6678,146,5,10,,131
2020-04-26,Faeroe Islands,48841,6588,187,,178,,9
2020-04-26,Guadeloupe,400116,,149,12,82,11,55
2020-04-26,Gibraltar,33692,2198,141,,131,,10
2020-04-26,Mozambique,31141818,1644,76,,12,,64
2020-04-26,Brunei,436979,12981,138,1,123,2,14
2020-04-26,Mongolia,3271795,7292,38,,9,,29
2020-04-26,Yemen,29742981,120,1,,1,,0
2020-04-26,Bermuda,62304,1173,109,5,39,10,65
2020-04-26,Guyana,786108,442,74,8,12,5,54
2020-04-26,Cambodia,16690788,5768,122,,117,1,5
2020-04-26,Trinidad and Tobago,1398962,1514,115,8,54,,53
2020-04-26,Aruba,106713,1622,100,2,73,4,25
2020-04-26,Monaco,39209,,94,4,42,1,48
2020-04-26,Bahamas,392795,,80,11,22,1,47
2020-04-26,Cayman Islands,65629,940,70,1,8,3,61
2020-04-26,Barbados,287335,1663,79,6,39,4,34
2020-04-26,Liechtenstein,38115,900,82,1,55,,26
2020-04-26,Mauritania,4633922,1032,7,1,6,,0
2020-04-26,Sint Maarten,42817,266,74,13,33,7,28
2020-04-26,Malawi,19066433,617,34,3,4,1,27
2020-04-26,Libya,6859926,1623,61,2,18,,41
2020-04-26,French Polynesia,280717,2069,57,,41,1,16
2020-04-26,Syria,17446406,,43,3,14,,26
2020-04-26,Angola,32731783,,26,2,6,,18
2020-04-26,Zimbabwe,14836491,6067,31,4,2,,25
2020-04-26,Macao,648258,,45,,31,1,14
2020-04-26,Burundi,11844472,284,11,1,4,,6
2020-04-26,Saint Martin,38585,,38,3,24,3,11
2020-04-26,Eritrea,3540444,,39,,13,,26
2020-04-26,Nicaragua,6615040,,13,3,7,,3
2020-04-26,Antigua and Barbuda,97833,113,24,3,11,1,10
2020-04-26,Botswana,2345678,5023,22,1,,,21
2020-04-26,Gambia,2407856,401,10,1,8,,1
2020-04-26,Timor-Leste,1315315,322,24,,2,,22
2020-04-26,Grenada,112462,175,18,,7,4,11
2020-04-26,Bhutan,770586,9791,7,,4,,3
2020-04-26,Laos,7262665,1735,19,,7,,12
2020-04-26,Belize,396732,816,18,2,5,1,11
2020-04-26,Fiji,895677,1007,18,,12,,6
2020-04-26,New Caledonia,285170,3952,18,,17,1,1
2020-04-26,Saint Lucia,183529,446,15,,15,,0
2020-04-26,St. Vincent Grenadines,110899,108,14,,5,,9
2020-04-26,Curaçao,164015,304,16,1,11,,4
2020-04-26,Dominica,71965,383,16,,13,,3
2020-04-26,Namibia,2535193,675,16,,8,,8
2020-04-26,Saint Kitts and Nevis,53155,260,15,,2,,13
2020-04-26,Falkland Islands,3467,353,13,,11,,2
2020-04-26,Turks and Caicos,38653,83,11,1,4,,6
2020-04-26,Vatican City,801,,9,,2,,7
2020-04-26,Comoros,867268,,,,,,
2020-04-26,Montserrat,4992,36,11,1,2,1,8
2020-04-26,Suriname,586006,404,10,1,7,,2
2020-04-26,Greenland,56759,1200,11,,11,,0
2020-04-26,Seychelles,98275,,11,,6,,5
2020-04-26,British Virgin Islands,30207,,6,1,3,,2
2020-04-26,Papua New Guinea,8925907,604,8,,,,8
2020-04-26,Caribbean Netherlands,26194,110,5,,,,5
2020-04-26,St. Barth,9874,,6,,6,,0
2020-04-26,Western Sahara,595462,,6,,5,,1
2020-04-26,Anguilla,14987,,3,,1,,2
2020-04-26,Lesotho,2140235,,,,,,
2020-04-26,Saint Pierre Miquelon,5797,,1,,,,1
2020-04-27,USA,330774664,5696928,1010356,56797,138990,14186,814569
2020-04-27,Russia,145927292,3019434,87147,794,7346,2300,79007
2020-04-27,Spain,46752703,1345560,229422,23521,120832,7764,85069
2020-04-27,Brazil,212380932,291922,66501,4543,31142,8318,30816
2020-04-27,UK,67844241,719910,157149,21092,,1559,135713
2020-04-27,Italy,60471924,1789662,199414,26977,66624,1956,105813
2020-04-27,France,65256826,463662,165842,23293,45513,4608,97036
2020-04-27,Germany,83752855,2072669,158758,6126,114500,2409,38132
2020-04-27,Turkey,84230075,918885,112261,2900,33791,1736,75570
2020-04-27,Iran,83862642,432329,91472,5806,70933,3011,14733
2020-04-27,India,1378381772,665819,29451,939,7137,,21375
2020-04-27,Peru,32915899,239563,28699,782,8425,598,19492
2020-04-27,China,1439323776,,82830,4633,77474,52,723
2020-04-27,Canada,37702769,717451,48500,2707,18268,557,27525
2020-04-27,Saudi Arabia,34747330,200000,18811,144,2531,117,16136
2020-04-27,Belgium,11583739,214042,46687,7207,10878,903,28602
2020-04-27,Mexico,128770253,67635,14677,1351,8354,378,4972
2020-04-27,Chile,19096687,161235,13813,198,7327,426,6288
2020-04-27,Netherlands,17130492,193950,38245,4518,,905,33477
2020-04-27,Pakistan,220356788,150756,13915,292,3029,111,10594
2020-04-27,Qatar,2875047,85709,11244,10,1066,72,10168
2020-04-27,Ecuador,17610231,61529,23240,663,1557,146,21020
2020-04-27,Switzerland,8647139,245300,29164,1665,22200,185,5299
2020-04-27,Belarus,9449678,153845,11289,75,1740,92,9474
2020-04-27,Sweden,10091856,94500,18926,2274,1005,399,15647
2020-04-27,Portugal,10200063,360155,24027,928,1357,176,21742
2020-04-27,Singapore,5844888,121774,14423,14,1095,20,13314
2020-04-27,Ireland,4931150,127319,19648,1102,9233,146,9313
2020-04-27,UAE,9875965,1057326,10839,82,2090,1,8667
2020-04-27,Bangladesh,164493041,50401,5913,152,131,1,5630
2020-04-27,Poland,37851327,297859,11902,562,2466,160,8874
2020-04-27,Ukraine,43762985,93519,9009,220,864,110,7925
2020-04-27,Indonesia,273176544,75157,9096,765,1151,,7180
2020-04-27,Romania,19251921,143834,11339,641,3141,227,7557
2020-04-27,Israel,8638917,302691,15555,204,7200,129,8151
2020-04-27,South Africa,59218133,178470,4793,90,1473,36,3230
2020-04-27,Japan,126520115,150692,13614,385,1899,300,11330
2020-04-27,Colombia,50817787,90899,5597,253,1210,118,4134
2020-04-27,Austria,9000366,232537,15274,549,12362,140,2363
2020-04-27,Kuwait,4262847,,3288,22,1012,64,2254
2020-04-27,Egypt,102094004,90000,4782,337,1236,,3209
2020-04-27,Dominican Republic,10834889,22498,6293,282,993,144,5018
2020-04-27,Philippines,109403890,89889,7777,511,932,31,6334
2020-04-27,S. Korea,51264120,601660,10738,243,8764,55,1731
2020-04-27,Denmark,5789832,155810,8698,427,5959,72,2312
2020-04-27,Serbia,8741321,67917,8275,162,1209,85,6904
2020-04-27,Panama,4306425,26642,5779,165,369,85,5245
2020-04-27,Czechia,10706690,218474,7445,223,2826,73,4396
2020-04-27,Argentina,45146322,49905,4003,197,1140,144,2666
2020-04-27,Norway,5416217,164316,7599,205,32,52,7362
2020-04-27,Algeria,43752773,6500,3517,432,1558,40,1527
2020-04-27,Bahrain,1693667,117374,2723,8,1218,2,1497
2020-04-27,Afghanistan,38817349,8694,1703,57,220,7,1426
2020-04-27,Australia,25464216,517063,6720,83,5586,43,1051
2020-04-27,Morocco,36857758,29254,4120,162,695,1,3263
2020-04-27,Malaysia,32315733,144686,5820,99,3957,37,1764
2020-04-27,Kazakhstan,18749587,205560,2835,25,720,35,2090
2020-04-27,Finland,5539729,82437,4695,193,2500,56,2002
2020-04-27,Nigeria,205486161,10918,1337,40,255,2,1042
2020-04-27,Moldova,4035024,11763,3481,102,925,212,2454
2020-04-27,Ghana,30991423,100622,1550,11,155,4,1384
2020-04-27,Oman,5089968,,2049,10,364,3,1675
2020-04-27,Armenia,2962604,18547,1808,29,848,10,931
2020-04-27,Bolivia,11653648,5791,950,50,80,3,820
2020-04-27,Luxembourg,624724,39102,3729,88,3123,20,518
2020-04-27,Iraq,40108260,73782,1847,88,1286,,473
2020-04-27,Hungary,9663123,65625,2583,280,498,61,1805
2020-04-27,Cameroon,26461313,,1705,58,805,12,842
2020-04-27,Azerbaijan,10128288,128807,1678,22,1162,15,494
2020-04-27,Thailand,69779718,178083,2931,52,2609,61,270
2020-04-27,Greece,10428746,66094,2534,136,577,43,1821
2020-04-27,Guinea,13086759,,1163,7,246,,910
2020-04-27,Uzbekistan,33409960,242536,1904,8,892,8,1004
2020-04-27,Honduras,9885245,3643,661,61,79,10,521
2020-04-27,Sudan,43719159,,275,22,21,,232
2020-04-27,Senegal,16687100,466,736,9,284,1,443
2020-04-27,Bosnia and Herzegovina,3283087,26822,1565,60,659,4,846
2020-04-27,Bulgaria,6954222,27000,1363,58,206,41,1099
2020-04-27,Croatia,4108081,32817,2039,59,1166,21,814
2020-04-27,Ivory Coast,26294743,,1164,14,499,,651
2020-04-27,Guatemala,17874358,7200,500,15,49,5,436
2020-04-27,Cuba,11327404,39828,1389,56,525,12,808
2020-04-27,North Macedonia,2083384,15120,1399,65,553,13,781
2020-04-27,Iceland,340982,46377,1792,10,1624,1,158
2020-04-27,Estonia,1326433,48406,1647,50,233,7,1364
2020-04-27,Tajikistan,9510530,,,,,,
2020-04-27,Lithuania,2726360,106775,1449,41,474,17,934
2020-04-27,DRC,89204344,,459,28,50,,381
2020-04-27,Djibouti,986245,12250,1035,2,477,,556
2020-04-27,New Zealand,4817585,123920,1469,19,1180,1,270
2020-04-27,Slovakia,5459339,74099,1381,18,403,7,960
2020-04-27,Slovenia,2078905,49607,1402,83,221,22,1098
2020-04-27,Somalia,15835721,,480,26,10,2,444
2020-04-27,Gabon,2219053,724,211,3,43,1,165
2020-04-27,El Salvador,6482375,20109,323,8,89,4,226
2020-04-27,Mayotte,271976,2500,401,4,144,4,253
2020-04-27,Kyrgyzstan,6510930,45627,695,8,395,13,292
2020-04-27,Maldives,539365,5296,226,,17,2,209
2020-04-27,Hong Kong,7489763,145640,1038,4,787,4,247
2020-04-27,Tunisia,11803787,21081,967,39,279,18,649
2020-04-27,Guinea-Bissau,1962083,1500,73,1,18,,54
2020-04-27,Latvia,1888464,49235,818,13,267,5,538
2020-04-27,Sri Lanka,21402783,15240,588,7,126,2,455
2020-04-27,Albania,2878155,7491,736,28,422,4,286
2020-04-27,Lebanon,6828869,29367,710,24,145,44,541
2020-04-27,Cyprus,1206320,50220,822,15,148,15,659
2020-04-27,Kenya,53621669,17992,363,14,114,2,235
2020-04-27,Niger,24088734,5013,701,29,385,,287
2020-04-27,Mali,20174887,2172,408,23,113,,272
2020-04-27,Costa Rica,5088572,12670,697,6,287,8,404
2020-04-27,Burkina Faso,20829100,,635,42,469,,124
2020-04-27,Paraguay,7121943,7630,228,9,93,1,126
2020-04-27,Andorra,77251,1673,743,40,385,17,318
2020-04-27,Zambia,18317156,2586,88,3,42,1,43
2020-04-27,Uruguay,3472331,17063,606,15,375,10,216
2020-04-27,Equatorial Guinea,1396874,854,258,1,9,,248
2020-04-27,Georgia,3990035,11504,497,6,156,6,335
2020-04-27,San Marino,33923,2082,538,41,64,4,433
2020-04-27,Jordan,10191015,63737,449,7,342,5,100
2020-04-27,Venezuela,28445034,440966,329,10,142,3,177
2020-04-27,Malta,441407,29456,450,4,286,1,160
2020-04-27,Channel Islands,173672,5342,525,35,352,,138
2020-04-27,Haiti,11385726,769,74,6,7,,61
2020-04-27,Jamaica,2959659,3262,350,7,28,3,315
2020-04-27,Chad,16364523,,46,,15,,31
2020-04-27,Sierra Leone,7956645,,93,4,10,,79
2020-04-27,Tanzania,59512999,,299,10,48,7,241
2020-04-27,Réunion,894557,,418,,300,2,118
2020-04-27,Taiwan,23811805,61684,429,6,290,,133
2020-04-27,Congo,5500730,,200,6,19,,175
2020-04-27,Palestine,5086351,27000,342,2,83,,257
2020-04-27,Nepal,29071791,51367,52,,16,,36
2020-04-27,Ethiopia,114599417,14588,124,3,50,,71
2020-04-27,Benin,12082333,,64,1,33,,30
2020-04-27,Isle of Man,84980,2903,308,20,248,22,40
2020-04-27,Mauritius,1271525,14445,334,10,302,3,22
2020-04-27,Togo,8254058,5951,98,6,62,,30
2020-04-27,Cabo Verde,555261,791,109,1,1,,107
2020-04-27,CAR,4819377,,19,,10,,9
2020-04-27,Montenegro,628057,5085,321,7,189,7,125
2020-04-27,Vietnam,97234232,212965,270,,225,8,45
2020-04-27,Madagascar,27599599,2357,128,,75,1,53
2020-04-27,Rwanda,12911155,6959,207,,93,,114
2020-04-27,South Sudan,11177895,,6,,,,6
2020-04-27,Uganda,45550580,22318,79,,47,,32
2020-04-27,Sao Tome and Principe,218653,19,4,,,,4
2020-04-27,Liberia,5042565,,124,12,25,,87
2020-04-27,French Guiana,297687,,111,1,87,,23
2020-04-27,Eswatini,1158724,714,65,1,10,,54
2020-04-27,Martinique,375298,,175,14,77,7,84
2020-04-27,Myanmar,54366792,6987,146,5,16,,125
2020-04-27,Faeroe Islands,48841,6588,187,,178,,9
2020-04-27,Guadeloupe,400116,,149,12,82,11,55
2020-04-27,Gibraltar,33692,2198,141,,131,,10
2020-04-27,Mozambique,31141818,1644,76,,12,,64
2020-04-27,Brunei,436979,13149,138,1,124,2,13
2020-04-27,Mongolia,3271795,7292,38,,10,,28
2020-04-27,Yemen,29742981,120,1,,1,,0
2020-04-27,Bermuda,62304,1682,110,6,44,10,60
2020-04-27,Guyana,786108,464,74,8,15,5,51
2020-04-27,Cambodia,16690788,11576,122,,119,1,3
2020-04-27,Trinidad and Tobago,1398962,1532,116,8,59,,49
2020-04-27,Aruba,106713,1626,100,2,73,4,25
2020-04-27,Monaco,39209,,95,4,42,1,49
2020-04-27,Bahamas,392795,,80,11,22,1,47
2020-04-27,Cayman Islands,65629,940,70,1,8,3,61
2020-04-27,Barbados,287335,1751,80,6,39,4,35
2020-04-27,Liechtenstein,38115,900,82,1,55,,26
2020-04-27,Mauritania,4633922,1032,7,1,6,,0
2020-04-27,Sint Maarten,42817,266,74,13,33,7,28
2020-04-27,Malawi,19066433,617,36,3,4,1,29
2020-04-27,Libya,6859926,1623,61,2,18,,41
2020-04-27,French Polynesia,280717,2266,57,,43,1,14
2020-04-27,Syria,17446406,,43,3,19,,21
2020-04-27,Angola,32731783,,27,2,6,,19
2020-04-27,Zimbabwe,14836491,6395,31,4,5,,22
2020-04-27,Macao,648258,,45,,32,1,13
2020-04-27,Burundi,11844472,284,11,1,4,,6
2020-04-27,Saint Martin,38585,,38,3,24,3,11
2020-04-27,Eritrea,3540444,,39,,13,,26
2020-04-27,Nicaragua,6615040,,13,3,7,,3
2020-04-27,Antigua and Barbuda,97833,113,24,3,11,1,10
2020-04-27,Botswana,2345678,5023,22,1,,,21
2020-04-27,Gambia,2407856,401,10,1,8,,1
2020-04-27,Timor-Leste,1315315,322,24,,2,,22
2020-04-27,Grenada,112462,175,18,,7,4,11
2020-04-27,Bhutan,770586,9829,7,,4,,3
2020-04-27,Laos,7262665,1796,19,,7,,12
2020-04-27,Belize,396732,936,18,2,6,1,10
2020-04-27,Fiji,895677,1007,18,,12,,6
2020-04-27,New Caledonia,285170,3952,18,,17,1,1
2020-04-27,Saint Lucia,183529,446,15,,15,,0
2020-04-27,St. Vincent Grenadines,110899,108,15,,5,,10
2020-04-27,Curaçao,164015,304,16,1,11,,4
2020-04-27,Dominica,71965,383,16,,13,,3
2020-04-27,Namibia,2535193,704,16,,8,,8
2020-04-27,Saint Kitts and Nevis,53155,260,15,,2,,13
2020-04-27,Falkland Islands,3467,353,13,,11,,2
2020-04-27,Turks and Caicos,38653,83,12,1,5,,6
2020-04-27,Vatican City,801,,9,,2,,7
2020-04-27,Comoros,867268,,,,,,
2020-04-27,Montserrat,4992,36,11,1,2,1,8
2020-04-27,Suriname,586006,404,10,1,7,,2
2020-04-27,Greenland,56759,1200,11,,11,,0
2020-04-27,Seychelles,98275,,11,,6,,5
2020-04-27,British Virgin Islands,30207,,6,1,3,,2
2020-04-27,Papua New Guinea,8925907,604,8,,,,8
2020-04-27,Caribbean Netherlands,26194,110,5,,,,5
2020-04-27,St. Barth,9874,,6,,6,,0
2020-04-27,Western Sahara,595462,,6,,5,,1
2020-04-27,Anguilla,14987,,3,,3,,0
2020-04-27,Lesotho,2140235,,,,,,
2020-04-27,Saint Pierre Miquelon,5797,,1,,,,1
2020-04-28,USA,330774664,5919847,1035765,59266,142238,15298,834261
2020-04-28,Russia,145927292,3139258,93558,867,8456,2300,84235
2020-04-28,Spain,46752703,1345560,232128,23822,123903,7764,84403
2020-04-28,Brazil,212380932,339552,72899,5063,32544,8318,35292
2020-04-28,UK,67844241,763387,161145,21678,,1559,139123
2020-04-28,Italy,60471924,1846934,201505,27359,68941,1863,105205
2020-04-28,France,65256826,463662,165911,23660,46886,4387,95365
2020-04-28,Germany,83752855,2072669,159912,6314,117400,2409,36198
2020-04-28,Turkey,84230075,948115,114653,2992,38809,1621,72852
2020-04-28,Iran,83862642,442590,92584,5877,72439,2983,14268
2020-04-28,India,1378381772,716733,31324,1008,7747,,22569
2020-04-28,Peru,32915899,267612,31190,854,9179,600,21157
2020-04-28,China,1439323776,,82836,4633,77555,50,648
2020-04-28,Canada,37702769,740859,50026,2859,19190,557,27977
2020-04-28,Saudi Arabia,34747330,200000,20077,152,2784,118,17141
2020-04-28,Belgium,11583739,220204,47334,7331,10943,876,29060
2020-04-28,Mexico,128770253,71103,15529,1434,9086,378,5009
2020-04-28,Chile,19096687,166165,14365,207,7710,426,6448
2020-04-28,Netherlands,17130492,209726,38416,4566,,861,33600
2020-04-28,Pakistan,220356788,157223,14612,312,3233,111,11067
2020-04-28,Qatar,2875047,88607,11921,10,1134,72,10777
2020-04-28,Ecuador,17610231,61529,24258,871,1557,146,21830
2020-04-28,Switzerland,8647139,256500,29264,1699,22600,185,4965
2020-04-28,Belarus,9449678,161028,12208,79,1993,92,10136
2020-04-28,Sweden,10091856,119500,19621,2355,1005,524,16261
2020-04-28,Portugal,10200063,379551,24322,948,1389,172,21985
2020-04-28,Singapore,5844888,121774,14951,14,1128,20,13809
2020-04-28,Ireland,4931150,153954,19877,1159,9233,141,9485
2020-04-28,UAE,9875965,1057326,11380,89,2181,1,9110
2020-04-28,Bangladesh,164493041,54733,6462,155,139,1,6168
2020-04-28,Poland,37851327,310744,12218,596,2655,160,8967
2020-04-28,Ukraine,43762985,98719,9410,239,992,121,8179
2020-04-28,Indonesia,273176544,79618,9511,773,1254,,7484
2020-04-28,Romania,19251921,150309,11616,663,3404,243,7549
2020-04-28,Israel,8638917,313135,15728,210,7746,116,7772
2020-04-28,South Africa,59218133,185000,4996,93,2073,36,2830
2020-04-28,Japan,126520115,160546,13736,394,1899,300,11443
2020-04-28,Colombia,50817787,90899,5949,269,1268,118,4412
2020-04-28,Austria,9000366,239578,15357,569,12580,136,2208
2020-04-28,Kuwait,4262847,179000,3440,23,1176,67,2241
2020-04-28,Egypt,102094004,90000,5042,359,1304,,3379
2020-04-28,Dominican Republic,10834889,23979,6416,286,1165,144,4965
2020-04-28,Philippines,109403890,89889,7958,530,975,31,6453
2020-04-28,S. Korea,51264120,608514,10752,244,8854,55,1654
2020-04-28,Denmark,5789832,166846,8851,434,6121,66,2296
2020-04-28,Serbia,8741321,73363,8497,168,1260,79,7069
2020-04-28,Panama,4306425,27834,6021,167,455,89,5399
2020-04-28,Czechia,10706690,226255,7504,227,2948,73,4329
2020-04-28,Argentina,45146322,53600,4127,207,1162,144,2758
2020-04-28,Norway,5416217,165951,7660,206,32,44,7422
2020-04-28,Algeria,43752773,6500,3649,437,1651,22,1561
2020-04-28,Bahrain,1693667,121706,2811,8,1310,2,1493
2020-04-28,Afghanistan,38817349,9000,1828,58,228,7,1542
2020-04-28,Australia,25464216,536000,6738,88,5626,42,1024
2020-04-28,Morocco,36857758,32250,4252,165,778,1,3309
2020-04-28,Malaysia,32315733,152142,5851,100,4032,36,1719
2020-04-28,Kazakhstan,18749587,216276,3027,25,774,41,2228
2020-04-28,Finland,5539729,85800,4740,199,2800,56,1741
2020-04-28,Nigeria,205486161,10918,1532,44,255,2,1233
2020-04-28,Moldova,4035024,11763,3638,103,975,212,2560
2020-04-28,Ghana,30991423,100622,1671,16,188,4,1467
2020-04-28,Oman,5089968,,2131,10,364,3,1757
2020-04-28,Armenia,2962604,19296,1867,30,866,10,971
2020-04-28,Bolivia,11653648,5791,1014,53,98,3,863
2020-04-28,Luxembourg,624724,39741,3741,89,3123,19,529
2020-04-28,Iraq,40108260,73782,1928,90,1319,,519
2020-04-28,Hungary,9663123,67172,2649,291,516,49,1842
2020-04-28,Cameroon,26461313,,1705,58,915,12,732
2020-04-28,Azerbaijan,10128288,132640,1717,22,1221,15,474
2020-04-28,Thailand,69779718,178083,2938,54,2652,61,232
2020-04-28,Greece,10428746,69833,2566,138,577,40,1851
2020-04-28,Guinea,13086759,,1240,7,269,,964
2020-04-28,Uzbekistan,33409960,242536,1939,8,992,8,939
2020-04-28,Honduras,9885245,3643,702,64,79,10,559
2020-04-28,Sudan,43719159,,318,25,31,,262
2020-04-28,Senegal,16687100,466,823,9,296,1,518
2020-04-28,Bosnia and Herzegovina,3283087,27603,1585,63,682,4,840
2020-04-28,Bulgaria,6954222,27000,1399,58,222,39,1119
2020-04-28,Croatia,4108081,33577,2047,63,1232,21,752
2020-04-28,Ivory Coast,26294743,,1183,14,525,,644
2020-04-28,Guatemala,17874358,7200,530,15,49,5,466
2020-04-28,Cuba,11327404,43508,1437,58,575,12,804
2020-04-28,North Macedonia,2083384,15771,1421,71,589,13,761
2020-04-28,Iceland,340982,46377,1795,10,1636,1,149
2020-04-28,Estonia,1326433,49527,1660,50,240,9,1370
2020-04-28,Tajikistan,9510530,,,,,,
2020-04-28,Lithuania,2726360,111809,1344,44,536,17,764
2020-04-28,DRC,89204344,,471,30,56,,385
2020-04-28,Djibouti,986245,12571,1072,2,498,,572
2020-04-28,New Zealand,4817585,126066,1472,19,1214,1,239
2020-04-28,Slovakia,5459339,75866,1384,20,423,6,941
2020-04-28,Slovenia,2078905,50290,1408,86,223,24,1099
2020-04-28,Somalia,15835721,,528,28,19,2,481
2020-04-28,Gabon,2219053,724,238,3,53,1,182
2020-04-28,El Salvador,6482375,21364,345,8,97,4,240
2020-04-28,Mayotte,271976,2700,460,4,235,4,221
2020-04-28,Kyrgyzstan,6510930,45627,708,8,416,13,284
2020-04-28,Maldives,539365,5296,250,,17,2,233
2020-04-28,Hong Kong,7489763,145640,1038,4,811,4,223
